spark.default.parallelism,batchInterval,spark.executor.cores,spark.executor.memory,spark.shuffle.compress,spark.streaming.blockInterval,time

1,1,1,16,False,1,0.185
1,1,1,16,False,2,0.17
1,1,1,16,False,4,0.202
1,1,1,16,False,8,0.204
1,1,1,16,True,1,0.166
1,1,1,16,True,2,0.194
1,1,1,16,True,4,0.197
1,1,1,16,True,8,0.207
1,1,1,4,False,1,10.446
1,1,1,4,False,2,9.36
1,1,1,4,False,4,6.494
1,1,1,4,False,8,7.838
1,1,1,4,True,1,7.112
1,1,1,4,True,2,6.633
1,1,1,4,True,4,4.523
1,1,1,4,True,8,6.365
1,1,1,8,False,1,1.105
1,1,1,8,False,2,0.379
1,1,1,8,False,4,0.511
1,1,1,8,False,8,0.494
1,1,1,8,True,1,0.354
1,1,1,8,True,2,1.055
1,1,1,8,True,4,0.497
1,1,1,8,True,8,1.07
1,1,2,16,False,1,0.171
1,1,2,16,False,2,0.21
1,1,2,16,False,4,0.209
1,1,2,16,False,8,0.237
1,1,2,16,True,1,0.169
1,1,2,16,True,2,0.178
1,1,2,16,True,4,0.167
1,1,2,16,True,8,0.208
1,1,2,4,False,1,0.241
1,1,2,4,False,2,0.4
1,1,2,4,False,4,0.397
1,1,2,4,False,8,1.058
1,1,2,4,True,1,0.211
1,1,2,4,True,2,1.075
1,1,2,4,True,4,0.882
1,1,2,4,True,8,0.383
1,1,2,8,False,1,0.258
1,1,2,8,False,2,0.202
1,1,2,8,False,4,0.645
1,1,2,8,False,8,0.517
1,1,2,8,True,1,0.292
1,1,2,8,True,2,0.59
1,1,2,8,True,4,0.357
1,1,2,8,True,8,0.999
1,1,4,16,False,1,0.176
1,1,4,16,False,2,0.184
1,1,4,16,False,4,0.214
1,1,4,16,False,8,0.194
1,1,4,16,True,1,0.184
1,1,4,16,True,2,0.176
1,1,4,16,True,4,0.171
1,1,4,16,True,8,0.201
1,1,4,4,False,1,0.175
1,1,4,4,False,2,0.184
1,1,4,4,False,4,0.203
1,1,4,4,False,8,0.197
1,1,4,4,True,1,0.157
1,1,4,4,True,2,0.172
1,1,4,4,True,4,0.195
1,1,4,4,True,8,0.195
1,1,4,8,False,1,0.16
1,1,4,8,False,2,0.16
1,1,4,8,False,4,0.186
1,1,4,8,False,8,0.191
1,1,4,8,True,1,0.162
1,1,4,8,True,2,0.196
1,1,4,8,True,4,0.196
1,1,4,8,True,8,0.228
1,1,8,16,False,1,0.138
1,1,8,16,False,2,0.136
1,1,8,16,False,4,0.149
1,1,8,16,False,8,0.139
1,1,8,16,True,1,0.137
1,1,8,16,True,2,0.138
1,1,8,16,True,4,0.14
1,1,8,16,True,8,0.153
1,1,8,4,False,1,0.142
1,1,8,4,False,2,0.139
1,1,8,4,False,4,0.139
1,1,8,4,False,8,0.146
1,1,8,4,True,1,0.149
1,1,8,4,True,2,0.139
1,1,8,4,True,4,0.137
1,1,8,4,True,8,0.136
1,1,8,8,False,1,0.134
1,1,8,8,False,2,0.136
1,1,8,8,False,4,0.138
1,1,8,8,False,8,0.139
1,1,8,8,True,1,0.142
1,1,8,8,True,2,0.14
1,1,8,8,True,4,0.135
1,1,8,8,True,8,0.144
1,2,1,16,False,1,0.245
1,2,1,16,False,2,0.28
1,2,1,16,False,4,0.307
1,2,1,16,False,8,0.344
1,2,1,16,True,1,0.261
1,2,1,16,True,2,0.27
1,2,1,16,True,4,0.277
1,2,1,16,True,8,0.353
1,2,1,4,False,1,3.596
