sdp,bi,sec,sem,ssc,ssb,time

1,1,1,16,False,1,0.17
1,1,1,16,False,2,0.159
1,1,1,16,False,4,0.164
1,1,1,16,False,8,0.163
1,1,1,16,True,1,0.155
1,1,1,16,True,2,0.16
1,1,1,16,True,4,0.19
1,1,1,16,True,8,0.2
1,1,1,4,False,1,1.167
1,1,1,4,False,2,1.276
1,1,1,4,False,4,1.186
1,1,1,4,False,8,1.285
1,1,1,4,True,1,1.171
1,1,1,4,True,2,1.411
1,1,1,4,True,4,1.317
1,1,1,4,True,8,1.194
1,1,1,8,False,1,0.346
1,1,1,8,False,2,0.276
1,1,1,8,False,4,0.495
1,1,1,8,False,8,0.451
1,1,1,8,True,1,0.252
1,1,1,8,True,2,1.066
1,1,1,8,True,4,0.472
1,1,1,8,True,8,1.051
1,1,2,16,False,1,0.182
1,1,2,16,False,2,0.159
1,1,2,16,False,4,0.181
1,1,2,16,False,8,0.187
1,1,2,16,True,1,0.159
1,1,2,16,True,2,0.195
1,1,2,16,True,4,0.197
1,1,2,16,True,8,0.186
1,1,2,4,False,1,0.301
1,1,2,4,False,2,0.362
1,1,2,4,False,4,0.373
1,1,2,4,False,8,0.365
1,1,2,4,True,1,0.248
1,1,2,4,True,2,0.432
1,1,2,4,True,4,0.328
1,1,2,4,True,8,0.362
1,1,2,8,False,1,0.203
1,1,2,8,False,2,0.346
1,1,2,8,False,4,0.365
1,1,2,8,False,8,1.043
1,1,2,8,True,1,0.26
1,1,2,8,True,2,0.422
1,1,2,8,True,4,0.377
1,1,2,8,True,8,0.496
1,1,4,16,False,1,0.164
1,1,4,16,False,2,0.167
1,1,4,16,False,4,0.192
1,1,4,16,False,8,0.199
1,1,4,16,True,1,0.158
1,1,4,16,True,2,0.177
1,1,4,16,True,4,0.174
1,1,4,16,True,8,0.208
1,1,4,4,False,1,0.165
1,1,4,4,False,2,0.171
1,1,4,4,False,4,0.179
1,1,4,4,False,8,0.209
1,1,4,4,True,1,0.159
1,1,4,4,True,2,0.174
1,1,4,4,True,4,0.197
1,1,4,4,True,8,0.175
1,1,4,8,False,1,0.153
1,1,4,8,False,2,0.165
1,1,4,8,False,4,0.175
1,1,4,8,False,8,0.185
1,1,4,8,True,1,0.167
1,1,4,8,True,2,0.153
1,1,4,8,True,4,0.196
1,1,4,8,True,8,0.195
1,1,8,16,False,1,0.129
1,1,8,16,False,2,0.15
1,1,8,16,False,4,0.149
1,1,8,16,False,8,0.15
1,1,8,16,True,1,0.129
1,1,8,16,True,2,0.128
1,1,8,16,True,4,0.148
1,1,8,16,True,8,0.136
1,1,8,4,False,1,0.129
1,1,8,4,False,2,0.13
1,1,8,4,False,4,0.137
1,1,8,4,False,8,0.158
1,1,8,4,True,1,0.128
1,1,8,4,True,2,0.132
1,1,8,4,True,4,0.139
1,1,8,4,True,8,0.134
1,1,8,8,False,1,0.138
1,1,8,8,False,2,0.133
1,1,8,8,False,4,0.132
1,1,8,8,False,8,0.133
1,1,8,8,True,1,0.127
1,1,8,8,True,2,0.136
1,1,8,8,True,4,0.136
1,1,8,8,True,8,0.136
1,2,1,16,False,1,0.222
1,2,1,16,False,2,0.261
1,2,1,16,False,4,0.263
1,2,1,16,False,8,0.31
1,2,1,16,True,1,0.24
1,2,1,16,True,2,0.278
1,2,1,16,True,4,0.317
1,2,1,16,True,8,0.286
1,2,1,4,False,1,1.884
1,2,1,4,False,2,1.386
1,2,1,4,False,4,1.576
1,2,1,4,False,8,1.295
1,2,1,4,True,1,1.962
1,2,1,4,True,2,1.34
1,2,1,4,True,4,1.261
1,2,1,4,True,8,1.177
1,2,1,8,False,1,1.132
1,2,1,8,False,2,1.096
1,2,1,8,False,4,1.064
1,2,1,8,False,8,1.081
1,2,1,8,True,1,0.476
1,2,1,8,True,2,1.089
1,2,1,8,True,4,1.106
1,2,1,8,True,8,1.163
1,2,2,16,False,1,0.224
1,2,2,16,False,2,0.251
1,2,2,16,False,4,0.297
1,2,2,16,False,8,0.335
1,2,2,16,True,1,0.222
1,2,2,16,True,2,0.266
1,2,2,16,True,4,0.265
1,2,2,16,True,8,0.247
1,2,2,4,False,1,0.346
1,2,2,4,False,2,1.12
1,2,2,4,False,4,1.076
1,2,2,4,False,8,1.085
1,2,2,4,True,1,1.202
1,2,2,4,True,2,0.527
1,2,2,4,True,4,1.132
1,2,2,4,True,8,1.091
1,2,2,8,False,1,0.395
1,2,2,8,False,2,1.127
1,2,2,8,False,4,1.155
1,2,2,8,False,8,1.031
1,2,2,8,True,1,1.083
1,2,2,8,True,2,1.177
1,2,2,8,True,4,1.161
1,2,2,8,True,8,1.04
1,2,4,16,False,1,0.221
1,2,4,16,False,2,0.21
1,2,4,16,False,4,0.245
1,2,4,16,False,8,0.319
1,2,4,16,True,1,0.252
1,2,4,16,True,2,0.253
1,2,4,16,True,4,0.26
1,2,4,16,True,8,0.251
1,2,4,4,False,1,0.228
1,2,4,4,False,2,0.22
1,2,4,4,False,4,0.314
1,2,4,4,False,8,0.247
1,2,4,4,True,1,0.239
1,2,4,4,True,2,0.254
1,2,4,4,True,4,0.263
1,2,4,4,True,8,0.267
1,2,4,8,False,1,0.233
1,2,4,8,False,2,0.276
1,2,4,8,False,4,0.321
1,2,4,8,False,8,0.349
1,2,4,8,True,1,0.23
1,2,4,8,True,2,0.293
1,2,4,8,True,4,0.289
1,2,4,8,True,8,0.27
1,2,8,16,False,1,0.214
1,2,8,16,False,2,0.192
1,2,8,16,False,4,0.223
1,2,8,16,False,8,0.22
1,2,8,16,True,1,0.214
1,2,8,16,True,2,0.213
1,2,8,16,True,4,0.203
1,2,8,16,True,8,0.206
1,2,8,4,False,1,0.198
1,2,8,4,False,2,0.203
1,2,8,4,False,4,0.198
1,2,8,4,False,8,0.2
1,2,8,4,True,1,0.194
1,2,8,4,True,2,0.193
1,2,8,4,True,4,0.203
1,2,8,4,True,8,0.208
1,2,8,8,False,1,0.207
1,2,8,8,False,2,0.211
1,2,8,8,False,4,0.221
1,2,8,8,False,8,0.193
1,2,8,8,True,1,0.207
1,2,8,8,True,2,0.199
1,2,8,8,True,4,0.223
1,2,8,8,True,8,0.227
1,4,1,16,False,1,0.256
1,4,1,16,False,2,0.281
1,4,1,16,False,4,1.009
1,4,1,16,False,8,1.176
1,4,1,16,True,1,0.271
1,4,1,16,True,2,1.157
1,4,1,16,True,4,0.54
1,4,1,16,True,8,1.226
1,4,1,4,False,1,6.772
1,4,1,4,False,2,6.683
1,4,1,4,False,4,6.074
1,4,1,4,False,8,5.846
1,4,1,4,True,1,5.957
1,4,1,4,True,2,7.094
1,4,1,4,True,4,6.171
1,4,1,4,True,8,4.529
1,4,1,8,False,1,1.515
1,4,1,8,False,2,1.24
1,4,1,8,False,4,1.233
1,4,1,8,False,8,1.25
1,4,1,8,True,1,1.264
1,4,1,8,True,2,1.269
1,4,1,8,True,4,1.255
1,4,1,8,True,8,1.188
1,4,2,16,False,1,0.279
1,4,2,16,False,2,1.201
1,4,2,16,False,4,0.546
1,4,2,16,False,8,0.482
1,4,2,16,True,1,0.291
1,4,2,16,True,2,0.294
1,4,2,16,True,4,0.521
1,4,2,16,True,8,1.214
1,4,2,4,False,1,1.234
1,4,2,4,False,2,1.273
1,4,2,4,False,4,1.254
1,4,2,4,False,8,1.225
1,4,2,4,True,1,1.276
1,4,2,4,True,2,1.278
1,4,2,4,True,4,1.306
1,4,2,4,True,8,1.28
1,4,2,8,False,1,1.276
1,4,2,8,False,2,1.245
1,4,2,8,False,4,1.459
1,4,2,8,False,8,1.238
1,4,2,8,True,1,1.27
1,4,2,8,True,2,1.277
1,4,2,8,True,4,1.212
1,4,2,8,True,8,1.249
1,4,4,16,False,1,0.253
1,4,4,16,False,2,0.501
1,4,4,16,False,4,0.549
1,4,4,16,False,8,0.631
1,4,4,16,True,1,0.279
1,4,4,16,True,2,0.367
1,4,4,16,True,4,1.041
1,4,4,16,True,8,1.242
1,4,4,4,False,1,0.266
1,4,4,4,False,2,0.346
1,4,4,4,False,4,0.35
1,4,4,4,False,8,0.705
1,4,4,4,True,1,0.283
1,4,4,4,True,2,0.617
1,4,4,4,True,4,1.193
1,4,4,4,True,8,0.544
1,4,4,8,False,1,0.315
1,4,4,8,False,2,0.443
1,4,4,8,False,4,0.527
1,4,4,8,False,8,1.154
1,4,4,8,True,1,0.28
1,4,4,8,True,2,0.33
1,4,4,8,True,4,0.571
1,4,4,8,True,8,0.478
1,4,8,16,False,1,0.254
1,4,8,16,False,2,0.239
1,4,8,16,False,4,0.23
1,4,8,16,False,8,0.25
1,4,8,16,True,1,0.241
1,4,8,16,True,2,0.236
1,4,8,16,True,4,0.256
1,4,8,16,True,8,0.26
1,4,8,4,False,1,0.274
1,4,8,4,False,2,0.272
1,4,8,4,False,4,0.242
1,4,8,4,False,8,0.26
1,4,8,4,True,1,0.255
1,4,8,4,True,2,0.241
1,4,8,4,True,4,0.266
1,4,8,4,True,8,0.29
1,4,8,8,False,1,0.265
1,4,8,8,False,2,0.245
1,4,8,8,False,4,0.256
1,4,8,8,False,8,0.229
1,4,8,8,True,1,0.255
1,4,8,8,True,2,0.256
1,4,8,8,True,4,0.248
1,4,8,8,True,8,0.268
1,8,1,16,False,1,0.31
1,8,1,16,False,2,1.239
1,8,1,16,False,4,1.199
1,8,1,16,False,8,1.268
1,8,1,16,True,1,0.314
1,8,1,16,True,2,1.244
1,8,1,16,True,4,1.319
1,8,1,16,True,8,1.284
1,8,1,4,False,2,10.953
1,8,1,4,False,4,5.07
1,8,1,4,False,8,6.543
1,8,1,4,True,1,7.387
1,8,1,4,True,2,3.464
1,8,1,4,True,4,4.909
1,8,1,4,True,8,2.694
1,8,1,8,False,1,1.773
1,8,1,8,False,2,1.361
1,8,1,8,False,4,1.61
1,8,1,8,False,8,2.217
1,8,1,8,True,1,1.326
1,8,1,8,True,2,1.363
1,8,1,8,True,4,1.345
1,8,1,8,True,8,1.536
1,8,2,16,False,1,0.286
1,8,2,16,False,2,1.304
1,8,2,16,False,4,1.214
1,8,2,16,False,8,1.279
1,8,2,16,True,1,0.281
1,8,2,16,True,2,1.178
1,8,2,16,True,4,1.251
1,8,2,16,True,8,1.3
1,8,2,4,False,1,1.29
1,8,2,4,False,2,1.399
1,8,2,4,False,4,1.4
1,8,2,4,False,8,1.341
1,8,2,4,True,1,1.384
1,8,2,4,True,2,1.842
1,8,2,4,True,4,1.645
1,8,2,4,True,8,1.351
1,8,2,8,False,1,1.467
1,8,2,8,False,2,1.505
1,8,2,8,False,4,2.251
1,8,2,8,False,8,1.544
1,8,2,8,True,1,1.365
1,8,2,8,True,2,2.275
1,8,2,8,True,4,2.218
1,8,2,8,True,8,2.173
1,8,4,16,False,1,0.261
1,8,4,16,False,2,0.375
1,8,4,16,False,4,1.176
1,8,4,16,False,8,1.286
1,8,4,16,True,1,1.262
1,8,4,16,True,2,1.131
1,8,4,16,True,4,1.324
1,8,4,16,True,8,1.276
1,8,4,4,False,1,1.222
1,8,4,4,False,2,0.908
1,8,4,4,False,4,1.218
1,8,4,4,False,8,1.246
1,8,4,4,True,1,0.313
1,8,4,4,True,2,1.201
1,8,4,4,True,4,1.304
1,8,4,4,True,8,1.256
1,8,4,8,False,1,0.283
1,8,4,8,False,2,0.326
1,8,4,8,False,4,1.197
1,8,4,8,False,8,1.156
1,8,4,8,True,1,0.317
1,8,4,8,True,2,1.241
1,8,4,8,True,4,1.272
1,8,4,8,True,8,1.257
1,8,8,16,False,1,0.289
1,8,8,16,False,2,0.322
1,8,8,16,False,4,0.359
1,8,8,16,False,8,0.338
1,8,8,16,True,1,0.359
1,8,8,16,True,2,0.329
1,8,8,16,True,4,0.345
1,8,8,16,True,8,0.333
1,8,8,4,False,1,0.291
1,8,8,4,False,2,0.308
1,8,8,4,False,4,0.386
1,8,8,4,False,8,0.274
1,8,8,4,True,1,0.306
1,8,8,4,True,2,0.314
1,8,8,4,True,4,0.306
1,8,8,4,True,8,0.313
1,8,8,8,False,1,0.32
1,8,8,8,False,2,0.3
1,8,8,8,False,4,0.333
1,8,8,8,False,8,0.343
1,8,8,8,True,1,0.363
1,8,8,8,True,2,0.329
1,8,8,8,True,4,0.316
1,8,8,8,True,8,0.634
2,1,1,16,False,1,0.132
2,1,1,16,False,2,0.128
2,1,1,16,False,4,0.126
2,1,1,16,False,8,0.122
2,1,1,16,True,1,0.121
2,1,1,16,True,2,0.13
2,1,1,16,True,4,0.128
2,1,1,16,True,8,0.129
2,1,1,4,False,1,2.145
2,1,1,4,False,2,2.105
2,1,1,4,False,4,3.462
2,1,1,4,False,8,2.039
2,1,1,4,True,1,1.805
2,1,1,4,True,2,1.643
2,1,1,4,True,4,1.165
2,1,1,4,True,8,1.448
2,1,1,8,False,1,0.312
2,1,1,8,False,2,0.272
2,1,1,8,False,4,0.235
2,1,1,8,False,8,0.373
2,1,1,8,True,1,0.175
2,1,1,8,True,2,0.283
2,1,1,8,True,4,0.334
2,1,1,8,True,8,1.114
2,1,2,16,False,1,0.129
2,1,2,16,False,2,0.125
2,1,2,16,False,4,0.125
2,1,2,16,False,8,0.127
2,1,2,16,True,1,0.13
2,1,2,16,True,2,0.126
2,1,2,16,True,4,0.127
2,1,2,16,True,8,0.132
2,1,2,4,False,1,0.178
2,1,2,4,False,2,0.234
2,1,2,4,False,4,0.523
2,1,2,4,False,8,0.18
2,1,2,4,True,1,0.185
2,1,2,4,True,2,0.233
2,1,2,4,True,4,0.199
2,1,2,4,True,8,0.345
2,1,2,8,False,1,0.161
2,1,2,8,False,2,0.307
2,1,2,8,False,4,1.053
2,1,2,8,False,8,0.331
2,1,2,8,True,1,0.174
2,1,2,8,True,2,0.161
2,1,2,8,True,4,0.373
2,1,2,8,True,8,0.235
2,1,4,16,False,1,0.12
2,1,4,16,False,2,0.127
2,1,4,16,False,4,0.125
2,1,4,16,False,8,0.126
2,1,4,16,True,1,0.126
2,1,4,16,True,2,0.126
2,1,4,16,True,4,0.126
2,1,4,16,True,8,0.125
2,1,4,4,False,1,0.125
2,1,4,4,False,2,0.126
2,1,4,4,False,4,0.125
2,1,4,4,False,8,0.126
2,1,4,4,True,1,0.126
2,1,4,4,True,2,0.127
2,1,4,4,True,4,0.126
2,1,4,4,True,8,0.128
2,1,4,8,False,1,0.129
2,1,4,8,False,2,0.126
2,1,4,8,False,4,0.127
2,1,4,8,False,8,0.126
2,1,4,8,True,1,0.124
2,1,4,8,True,2,0.128
2,1,4,8,True,4,0.125
2,1,4,8,True,8,0.124
2,1,8,16,False,1,0.121
2,1,8,16,False,2,0.12
2,1,8,16,False,4,0.123
2,1,8,16,False,8,0.121
2,1,8,16,True,1,0.121
2,1,8,16,True,2,0.122
2,1,8,16,True,4,0.121
2,1,8,16,True,8,0.122
2,1,8,4,False,1,0.12
2,1,8,4,False,2,0.121
2,1,8,4,False,4,0.123
2,1,8,4,False,8,0.121
2,1,8,4,True,1,0.119
2,1,8,4,True,2,0.121
2,1,8,4,True,4,0.122
2,1,8,4,True,8,0.122
2,1,8,8,False,1,0.119
2,1,8,8,False,2,0.121
2,1,8,8,False,4,0.122
2,1,8,8,False,8,0.12
2,1,8,8,True,1,0.121
2,1,8,8,True,2,0.122
2,1,8,8,True,4,0.121
2,1,8,8,True,8,0.122
2,2,1,16,False,1,0.156
2,2,1,16,False,2,0.156
2,2,1,16,False,4,0.151
2,2,1,16,False,8,0.171
2,2,1,16,True,1,0.145
2,2,1,16,True,2,0.158
2,2,1,16,True,4,0.147
2,2,1,16,True,8,0.188
2,2,1,4,False,1,4.457
2,2,1,4,False,2,2.726
2,2,1,4,False,4,3.07
2,2,1,4,False,8,4.416
2,2,1,4,True,1,2.291
2,2,1,4,True,2,5.363
2,2,1,4,True,4,6.299
2,2,1,4,True,8,4.59
2,2,1,8,False,1,0.241
2,2,1,8,False,2,0.504
2,2,1,8,False,4,0.426
2,2,1,8,False,8,0.312
2,2,1,8,True,1,0.271
2,2,1,8,True,2,0.314
2,2,1,8,True,4,0.272
2,2,1,8,True,8,0.245
2,2,2,16,False,1,0.169
2,2,2,16,False,2,0.166
2,2,2,16,False,4,0.159
2,2,2,16,False,8,0.175
2,2,2,16,True,1,0.162
2,2,2,16,True,2,0.181
2,2,2,16,True,4,0.185
2,2,2,16,True,8,0.221
2,2,2,4,False,1,0.225
2,2,2,4,False,2,1.061
2,2,2,4,False,4,0.685
2,2,2,4,False,8,0.297
2,2,2,4,True,1,0.205
2,2,2,4,True,2,0.301
2,2,2,4,True,4,0.458
2,2,2,4,True,8,0.354
2,2,2,8,False,1,0.304
2,2,2,8,False,2,0.227
2,2,2,8,False,4,0.346
2,2,2,8,False,8,0.344
2,2,2,8,True,1,0.225
2,2,2,8,True,2,0.339
2,2,2,8,True,4,0.366
2,2,2,8,True,8,0.381
2,2,4,16,False,1,0.155
2,2,4,16,False,2,0.173
2,2,4,16,False,4,0.157
2,2,4,16,False,8,0.18
2,2,4,16,True,1,0.165
2,2,4,16,True,2,0.179
2,2,4,16,True,4,0.18
2,2,4,16,True,8,0.152
2,2,4,4,False,1,0.167
2,2,4,4,False,2,0.179
2,2,4,4,False,4,0.187
2,2,4,4,False,8,0.151
2,2,4,4,True,1,0.182
2,2,4,4,True,2,0.153
2,2,4,4,True,4,0.156
2,2,4,4,True,8,0.216
2,2,4,8,False,1,0.159
2,2,4,8,False,2,0.162
2,2,4,8,False,4,0.175
2,2,4,8,False,8,0.168
2,2,4,8,True,1,0.147
2,2,4,8,True,2,0.168
2,2,4,8,True,4,0.162
2,2,4,8,True,8,0.157
2,2,8,16,False,1,0.141
2,2,8,16,False,2,0.145
2,2,8,16,False,4,0.145
2,2,8,16,False,8,0.142
2,2,8,16,True,1,0.132
2,2,8,16,True,2,0.136
2,2,8,16,True,4,0.129
2,2,8,16,True,8,0.145
2,2,8,4,False,1,0.139
2,2,8,4,False,2,0.142
2,2,8,4,False,4,0.135
